"timeMillisSpent","score"
76,"-1063hard/-8010soft"
207,"-1038hard/-8155soft"
419,"-1027hard/-11505soft"
662,"-1018hard/-11527soft"
778,"-1014hard/-11642soft"
866,"-1012hard/-11642soft"
963,"-1011hard/-11636soft"
1086,"-1011hard/-11628soft"
1195,"-1010hard/-11622soft"
1296,"-1010hard/-11582soft"
1382,"-1010hard/-11236soft"
1464,"-1009hard/-11225soft"
1554,"-1009hard/-11199soft"
1649,"-1008hard/-11219soft"
1861,"-1008hard/-11209soft"
1961,"-1008hard/-11185soft"
2089,"-1007hard/-11185soft"
2199,"-1007hard/-11152soft"
2292,"-1007hard/-11151soft"
2383,"-1007hard/-11131soft"
2481,"-1006hard/-11125soft"
2573,"-1006hard/-11113soft"
2667,"-1006hard/-11110soft"
2761,"-1006hard/-11105soft"
2860,"-1006hard/-11095soft"
2948,"-1006hard/-11090soft"
3235,"-1006hard/-11088soft"
3325,"-1006hard/-11086soft"
3532,"-1006hard/-11068soft"
3719,"-1006hard/-10915soft"
3804,"-1006hard/-10905soft"
4090,"-1006hard/-10886soft"
4175,"-1005hard/-10876soft"
4277,"-1005hard/-10859soft"
4376,"-1005hard/-10846soft"
4675,"-1005hard/-10836soft"
4862,"-1005hard/-10829soft"
5243,"-1005hard/-10826soft"
5346,"-1005hard/-10802soft"
5444,"-1005hard/-10797soft"
5562,"-1005hard/-10789soft"
5663,"-1005hard/-10778soft"
5769,"-1004hard/-10778soft"
5887,"-1004hard/-10771soft"
6195,"-1004hard/-10748soft"
6460,"-1004hard/-10740soft"
6558,"-1004hard/-10726soft"
6656,"-1004hard/-10725soft"
6849,"-1004hard/-10713soft"
6950,"-1004hard/-10702soft"
7135,"-1004hard/-10701soft"
7417,"-1004hard/-10693soft"
7608,"-1004hard/-10676soft"
7710,"-1004hard/-10662soft"
7818,"-1004hard/-10643soft"
8206,"-1004hard/-10628soft"
8429,"-1004hard/-10625soft"
8635,"-1004hard/-10622soft"
9379,"-1003hard/-10689soft"
9472,"-1003hard/-10654soft"
9802,"-1003hard/-10648soft"
