"timeMillisSpent","score"
337,"-105hard/-12911soft"
339,"-97hard/-12990soft"
341,"-95hard/-13372soft"
345,"-92hard/-17651soft"
411,"-90hard/-25759soft"
411,"-79hard/-25754soft"
1170,"-79hard/-24402soft"
1170,"-78hard/-24385soft"
1236,"-77hard/-26536soft"
1323,"-76hard/-25826soft"
1371,"-75hard/-26743soft"
1372,"-74hard/-26730soft"
1401,"-74hard/-26548soft"
1402,"-74hard/-26532soft"
1402,"-73hard/-26566soft"
1499,"-71hard/-26496soft"
1597,"-71hard/-26094soft"
1647,"-70hard/-25737soft"
1699,"-69hard/-26319soft"
1699,"-67hard/-26314soft"
1784,"-67hard/-25770soft"
1806,"-65hard/-27297soft"
1905,"-65hard/-25163soft"
2076,"-64hard/-25463soft"
2107,"-63hard/-25681soft"
2326,"-62hard/-25888soft"
2405,"-62hard/-25843soft"
2406,"-61hard/-25952soft"
2406,"-61hard/-25893soft"
2490,"-61hard/-25868soft"
2491,"-61hard/-25863soft"
2512,"-61hard/-25523soft"
2593,"-60hard/-26386soft"
2593,"-59hard/-26376soft"
2656,"-59hard/-25774soft"
2658,"-59hard/-25753soft"
2662,"-58hard/-25930soft"
2662,"-58hard/-25913soft"
2662,"-58hard/-25908soft"
2662,"-58hard/-25901soft"
2688,"-58hard/-25380soft"
2823,"-57hard/-25495soft"
2903,"-55hard/-25739soft"
2912,"-53hard/-25271soft"
3290,"-52hard/-26005soft"
3297,"-52hard/-25837soft"
3297,"-51hard/-25842soft"
3323,"-51hard/-25373soft"
3587,"-50hard/-25105soft"
3722,"-49hard/-26674soft"
3743,"-49hard/-26556soft"
3845,"-48hard/-25803soft"
3857,"-48hard/-25701soft"
3879,"-48hard/-25574soft"
4025,"-47hard/-25045soft"
4050,"-46hard/-25389soft"
4051,"-45hard/-25352soft"
4351,"-43hard/-25037soft"
4905,"-42hard/-25515soft"
5231,"-42hard/-25189soft"
5361,"-40hard/-24345soft"
5413,"-39hard/-25204soft"
5423,"-39hard/-24824soft"
5553,"-39hard/-24654soft"
5893,"-39hard/-24097soft"
6106,"-38hard/-24755soft"
6199,"-37hard/-25527soft"
6398,"-37hard/-25220soft"
6415,"-37hard/-24700soft"
6743,"-37hard/-24311soft"
6956,"-37hard/-23903soft"
6957,"-35hard/-23847soft"
7178,"-34hard/-24624soft"
7329,"-33hard/-25181soft"
7393,"-33hard/-24942soft"
7429,"-32hard/-24920soft"
8108,"-32hard/-24636soft"
8147,"-30hard/-24740soft"
8515,"-30hard/-24207soft"
9336,"-29hard/-24085soft"
9337,"-27hard/-24079soft"
