"timeMillisSpent","score"
11,"-12hard/-7983soft"
15,"-2hard/-8079soft"
428,"-2hard/-7903soft"
428,"-2hard/-7874soft"
441,"-2hard/-7727soft"
521,"-2hard/-7612soft"
534,"-2hard/-7379soft"
535,"-2hard/-7377soft"
536,"-2hard/-7323soft"
609,"-2hard/-7253soft"
876,"-2hard/-7187soft"
876,"-2hard/-7185soft"
1506,"-2hard/-7177soft"
1658,"-2hard/-7172soft"
1790,"-2hard/-7166soft"
1790,"-2hard/-7162soft"
1791,"-2hard/-7154soft"
1968,"-2hard/-7114soft"
2127,"-2hard/-7100soft"
2127,"-2hard/-7091soft"
2821,"-2hard/-7086soft"
2821,"-2hard/-7085soft"
2876,"-2hard/-7077soft"
3253,"-2hard/-7075soft"
3259,"-2hard/-7073soft"
3260,"-2hard/-7071soft"
3371,"-2hard/-7060soft"
3416,"-2hard/-7059soft"
3438,"-2hard/-7050soft"
3496,"-2hard/-7038soft"
3496,"-2hard/-7000soft"
3498,"-2hard/-6998soft"
6192,"-2hard/-6996soft"
6456,"-2hard/-6994soft"
6748,"-2hard/-6990soft"
7460,"-2hard/-6974soft"
7671,"-2hard/-6972soft"
8044,"-2hard/-6970soft"
8188,"-2hard/-6969soft"
8303,"-2hard/-6968soft"
9308,"-2hard/-6959soft"
9586,"-2hard/-6957soft"
