"timeMillisSpent","score"
403,"-2123hard/-15909soft"
731,"-2023hard/-16068soft"
1018,"-2004hard/-19825soft"
1277,"-1993hard/-19679soft"
1527,"-1988hard/-19690soft"
1857,"-1987hard/-19716soft"
2140,"-1986hard/-19716soft"
2401,"-1986hard/-19077soft"
2621,"-1984hard/-19182soft"
2926,"-1984hard/-19112soft"
3242,"-1983hard/-19115soft"
3459,"-1983hard/-19101soft"
3725,"-1983hard/-19029soft"
4001,"-1983hard/-19024soft"
4517,"-1983hard/-18989soft"
4748,"-1983hard/-18980soft"
4983,"-1983hard/-18961soft"
5352,"-1983hard/-18934soft"
5650,"-1983hard/-18854soft"
5995,"-1983hard/-18832soft"
6300,"-1983hard/-18810soft"
6629,"-1983hard/-18790soft"
8152,"-1983hard/-18782soft"
