"timeMillisSpent","score"
17,"-30hard/-4145soft"
64,"-22hard/-7651soft"
139,"-22hard/-7030soft"
232,"-22hard/-6910soft"
290,"-22hard/-6860soft"
354,"-22hard/-6831soft"
416,"-22hard/-6806soft"
486,"-22hard/-6786soft"
572,"-22hard/-6781soft"
654,"-22hard/-6779soft"
713,"-22hard/-6777soft"
782,"-22hard/-6769soft"
828,"-22hard/-6767soft"
1358,"-22hard/-6760soft"
1486,"-22hard/-6747soft"
1654,"-22hard/-6746soft"
1780,"-22hard/-6742soft"
2491,"-22hard/-3707soft"
2645,"-21hard/-3708soft"
2852,"-20hard/-7337soft"
2905,"-19hard/-7390soft"
2959,"-19hard/-7381soft"
3010,"-19hard/-7379soft"
3144,"-19hard/-7378soft"
