"timeMillisSpent","score"
2925,"-201hard/-101725soft"
3034,"-190hard/-101766soft"
3142,"-186hard/-101820soft"
3251,"-186hard/-101800soft"
3584,"-185hard/-101829soft"
3692,"-183hard/-101799soft"
3803,"-182hard/-101813soft"
3910,"-181hard/-101816soft"
4016,"-179hard/-101863soft"
4229,"-178hard/-101867soft"
4333,"-177hard/-101858soft"
4433,"-177hard/-101857soft"
5078,"-177hard/-101690soft"
5181,"-177hard/-101675soft"
5285,"-177hard/-101657soft"
6232,"-176hard/-101576soft"
6346,"-176hard/-101410soft"
6451,"-174hard/-101425soft"
6561,"-174hard/-101404soft"
6667,"-170hard/-101403soft"
6775,"-169hard/-101400soft"
6990,"-169hard/-101380soft"
7095,"-168hard/-101369soft"
7204,"-168hard/-101360soft"
7313,"-167hard/-101347soft"
7851,"-166hard/-101327soft"
8287,"-165hard/-101362soft"
8397,"-164hard/-101358soft"
8505,"-163hard/-101759soft"
8613,"-163hard/-101656soft"
8718,"-163hard/-101652soft"
9148,"-163hard/-101651soft"
9256,"-162hard/-101814soft"
9471,"-161hard/-101833soft"
9580,"-161hard/-101817soft"
9693,"-160hard/-101825soft"
9804,"-160hard/-101823soft"
9913,"-160hard/-101811soft"
10000,"-159hard/-101807soft"
