"timeMillisSpent","score"
8,"-4hard/-7342soft"
11,"-4hard/-7153soft"
12,"-2hard/-7314soft"
139,"-2hard/-7298soft"
202,"-2hard/-7288soft"
203,"-2hard/-7284soft"
219,"-2hard/-7271soft"
221,"-2hard/-7248soft"
221,"-2hard/-7241soft"
222,"-2hard/-7238soft"
225,"-2hard/-7208soft"
226,"-2hard/-7200soft"
287,"-2hard/-7195soft"
317,"-2hard/-7190soft"
325,"-2hard/-7163soft"
341,"-2hard/-7158soft"
371,"-2hard/-7153soft"
400,"-2hard/-7140soft"
449,"-2hard/-7102soft"
449,"-2hard/-7087soft"
659,"-2hard/-7055soft"
888,"-2hard/-7037soft"
1165,"-2hard/-7028soft"
1254,"-2hard/-7026soft"
1255,"-2hard/-7023soft"
1260,"-2hard/-7016soft"
1268,"-2hard/-7011soft"
1274,"-2hard/-6998soft"
1912,"-2hard/-6990soft"
1914,"-2hard/-6981soft"
2116,"-2hard/-6978soft"
2690,"-2hard/-6977soft"
2771,"-2hard/-6976soft"
3876,"-2hard/-6973soft"
4275,"-2hard/-6972soft"
4316,"-2hard/-6971soft"
4508,"-2hard/-6969soft"
4543,"-2hard/-6965soft"
