"timeMillisSpent","score"
150,"-44hard/-23136soft"
244,"-34hard/-22979soft"
353,"-25hard/-23277soft"
453,"-23hard/-23264soft"
544,"-22hard/-23250soft"
630,"-20hard/-23211soft"
723,"-16hard/-23149soft"
812,"-15hard/-23105soft"
904,"-14hard/-23125soft"
987,"-13hard/-23145soft"
1070,"-13hard/-23140soft"
1158,"-12hard/-23130soft"
1240,"-12hard/-23095soft"
1326,"-12hard/-23059soft"
1410,"-11hard/-23060soft"
1493,"-11hard/-23047soft"
1578,"-11hard/-23024soft"
1658,"-11hard/-22562soft"
1737,"-11hard/-22552soft"
1813,"-11hard/-22519soft"
1901,"-11hard/-22518soft"
1992,"-11hard/-22474soft"
2075,"-11hard/-22258soft"
2158,"-10hard/-22284soft"
2320,"-9hard/-22266soft"
2402,"-9hard/-22242soft"
2494,"-9hard/-22219soft"
2594,"-8hard/-22203soft"
2690,"-7hard/-22178soft"
2778,"-6hard/-22149soft"
2856,"-6hard/-22146soft"
2947,"-6hard/-22142soft"
3131,"-6hard/-22128soft"
3219,"-6hard/-22089soft"
3402,"-6hard/-22006soft"
4109,"-5hard/-22104soft"
4292,"-4hard/-22101soft"
4386,"-4hard/-21989soft"
4561,"-4hard/-21982soft"
4659,"-4hard/-21969soft"
4744,"-4hard/-21965soft"
5010,"-4hard/-21939soft"
5097,"-4hard/-21935soft"
5288,"-4hard/-21932soft"
5389,"-4hard/-21922soft"
5481,"-4hard/-21890soft"
5573,"-4hard/-21875soft"
5671,"-4hard/-21864soft"
5761,"-4hard/-21852soft"
5852,"-4hard/-21843soft"
5948,"-4hard/-21837soft"
6046,"-4hard/-21827soft"
6142,"-4hard/-21804soft"
6238,"-2hard/-21764soft"
6331,"-2hard/-21758soft"
6419,"-2hard/-21751soft"
6613,"-2hard/-21611soft"
6705,"-2hard/-21604soft"
6963,"-2hard/-21585soft"
7054,"-2hard/-21579soft"
7137,"-2hard/-21566soft"
7234,"-2hard/-21555soft"
7328,"-2hard/-21515soft"
7421,"-2hard/-21510soft"
7511,"-2hard/-21505soft"
7604,"-2hard/-21298soft"
7776,"-2hard/-21277soft"
7869,"-2hard/-21276soft"
7970,"-2hard/-21267soft"
8063,"-2hard/-21260soft"
8149,"-2hard/-21247soft"
8247,"-2hard/-21238soft"
8356,"-2hard/-21231soft"
8449,"-2hard/-21230soft"
8538,"-2hard/-21224soft"
8629,"-2hard/-21208soft"
8724,"-2hard/-21191soft"
8812,"-2hard/-21051soft"
8897,"-2hard/-21019soft"
8979,"-2hard/-20999soft"
9074,"-2hard/-20991soft"
9164,"-2hard/-20986soft"
9252,"-2hard/-20982soft"
9346,"-2hard/-20971soft"
9529,"-2hard/-20970soft"
9622,"-2hard/-20953soft"
9716,"-2hard/-20937soft"
9808,"-2hard/-20931soft"
9897,"-2hard/-20916soft"
9997,"-2hard/-20915soft"
