"timeMillisSpent","score"
46,"-26hard/-11737soft"
141,"-15hard/-11457soft"
242,"-12hard/-11471soft"
391,"-11hard/-11468soft"
567,"-11hard/-11384soft"
678,"-10hard/-11353soft"
776,"-9hard/-11342soft"
861,"-8hard/-11305soft"
956,"-8hard/-11287soft"
1060,"-8hard/-11275soft"
1156,"-7hard/-11263soft"
1248,"-7hard/-11256soft"
1339,"-7hard/-11251soft"
1531,"-7hard/-11248soft"
1624,"-7hard/-11226soft"
1812,"-7hard/-11198soft"
1923,"-7hard/-11180soft"
2138,"-7hard/-11139soft"
2242,"-5hard/-11122soft"
2344,"-4hard/-11113soft"
2426,"-4hard/-11105soft"
2598,"-4hard/-11095soft"
2710,"-4hard/-11094soft"
2804,"-4hard/-11085soft"
3006,"-4hard/-11079soft"
3095,"-4hard/-11058soft"
3196,"-4hard/-11051soft"
3298,"-4hard/-11036soft"
3490,"-4hard/-11028soft"
3595,"-4hard/-10950soft"
3824,"-4hard/-10949soft"
3934,"-4hard/-10945soft"
4034,"-4hard/-10940soft"
4410,"-4hard/-10925soft"
4533,"-4hard/-10922soft"
4689,"-4hard/-10902soft"
4810,"-4hard/-10896soft"
5035,"-4hard/-10879soft"
5129,"-3hard/-10887soft"
5872,"-2hard/-11043soft"
5967,"-2hard/-11037soft"
6055,"-2hard/-11019soft"
6162,"-2hard/-11014soft"
6265,"-2hard/-11009soft"
6458,"-2hard/-11002soft"
6558,"-2hard/-10999soft"
6657,"-2hard/-10998soft"
6753,"-2hard/-10997soft"
6866,"-2hard/-10975soft"
6965,"-2hard/-10970soft"
7074,"-2hard/-10956soft"
7166,"-2hard/-10953soft"
7361,"-2hard/-10948soft"
7447,"-2hard/-10727soft"
7548,"-2hard/-10725soft"
7842,"-2hard/-10715soft"
7934,"-2hard/-10692soft"
8034,"-2hard/-10687soft"
8135,"-2hard/-10685soft"
8444,"-2hard/-10674soft"
8945,"-2hard/-10673soft"
9344,"-2hard/-10653soft"
9446,"-2hard/-10652soft"
9551,"-2hard/-10650soft"
