"timeMillisSpent","score"
364,"-2029hard/-22483soft"
639,"-2014hard/-22457soft"
926,"-2009hard/-22483soft"
1203,"-2007hard/-22483soft"
1529,"-2006hard/-22509soft"
1849,"-2005hard/-22598soft"
2563,"-2004hard/-22633soft"
3061,"-2003hard/-22674soft"
3432,"-2002hard/-22739soft"
3760,"-2002hard/-22721soft"
4139,"-2002hard/-22705soft"
4511,"-2002hard/-19615soft"
4846,"-2002hard/-19430soft"
5112,"-2002hard/-19422soft"
5662,"-2001hard/-19457soft"
5922,"-2001hard/-19421soft"
6164,"-2001hard/-19382soft"
6458,"-2001hard/-19379soft"
6755,"-2001hard/-16525soft"
7016,"-2001hard/-16487soft"
7274,"-2001hard/-16429soft"
7540,"-2001hard/-16403soft"
7823,"-2001hard/-16382soft"
8120,"-2001hard/-16341soft"
8533,"-2001hard/-16326soft"
8889,"-2001hard/-16306soft"
9226,"-2001hard/-16289soft"
9616,"-2000hard/-16449soft"
9993,"-2000hard/-16432soft"
