"timeMillisSpent","score"
10,"-8hard/-9058soft"
12,"-7hard/-9086soft"
13,"-5hard/-9101soft"
13,"-1hard/-9762soft"
33,"0hard/-9435soft"
33,"0hard/-9385soft"
36,"0hard/-8769soft"
113,"0hard/-8760soft"
177,"0hard/-8707soft"
271,"0hard/-8684soft"
284,"0hard/-8671soft"
284,"0hard/-8660soft"
292,"0hard/-8637soft"
296,"0hard/-8634soft"
301,"0hard/-8610soft"
301,"0hard/-8603soft"
301,"0hard/-8569soft"
302,"0hard/-8559soft"
348,"0hard/-8507soft"
361,"0hard/-8463soft"
421,"0hard/-8459soft"
643,"0hard/-8424soft"
686,"0hard/-8411soft"
739,"0hard/-8394soft"
920,"0hard/-8389soft"
960,"0hard/-8388soft"
960,"0hard/-8380soft"
1249,"0hard/-8379soft"
1249,"0hard/-8338soft"
1653,"0hard/-8337soft"
1705,"0hard/-8304soft"
2054,"0hard/-8296soft"
2188,"0hard/-8288soft"
2453,"0hard/-8278soft"
2583,"0hard/-8269soft"
3169,"0hard/-8264soft"
3317,"0hard/-8242soft"
4051,"0hard/-8232soft"
6341,"0hard/-8228soft"
6398,"0hard/-8227soft"
6399,"0hard/-8224soft"
7351,"0hard/-8223soft"
7910,"0hard/-8219soft"
7912,"0hard/-8216soft"
