"timeMillisSpent","score"
145,"-36hard/-23940soft"
241,"-27hard/-23469soft"
344,"-25hard/-23435soft"
458,"-23hard/-23207soft"
542,"-21hard/-23198soft"
626,"-20hard/-23210soft"
709,"-20hard/-22920soft"
808,"-19hard/-22886soft"
906,"-18hard/-23195soft"
993,"-17hard/-23196soft"
1073,"-17hard/-23185soft"
1157,"-17hard/-23172soft"
1242,"-16hard/-23172soft"
1332,"-16hard/-23064soft"
1419,"-15hard/-23066soft"
1508,"-14hard/-23013soft"
1595,"-13hard/-22996soft"
1688,"-13hard/-22981soft"
1774,"-12hard/-22905soft"
1864,"-11hard/-22902soft"
2049,"-11hard/-22889soft"
2138,"-11hard/-22874soft"
2225,"-10hard/-22852soft"
2397,"-10hard/-22622soft"
2478,"-10hard/-22586soft"
2815,"-10hard/-22580soft"
2910,"-8hard/-22522soft"
2999,"-8hard/-22511soft"
3181,"-7hard/-22512soft"
3364,"-6hard/-22512soft"
3453,"-6hard/-22506soft"
3544,"-6hard/-22503soft"
3637,"-6hard/-22496soft"
3728,"-6hard/-22486soft"
3818,"-6hard/-22483soft"
3909,"-6hard/-22475soft"
3993,"-6hard/-22474soft"
4075,"-6hard/-22466soft"
4161,"-6hard/-22462soft"
4251,"-6hard/-22457soft"
5090,"-6hard/-22247soft"
5173,"-6hard/-22244soft"
5270,"-6hard/-22232soft"
5359,"-6hard/-22224soft"
5448,"-6hard/-22221soft"
5536,"-6hard/-22180soft"
5622,"-6hard/-22174soft"
5713,"-6hard/-22166soft"
5810,"-6hard/-22162soft"
5896,"-6hard/-22149soft"
5982,"-6hard/-22145soft"
6072,"-6hard/-22053soft"
6162,"-6hard/-22035soft"
6251,"-6hard/-22009soft"
6345,"-6hard/-21993soft"
6521,"-6hard/-21953soft"
6608,"-6hard/-21932soft"
6693,"-6hard/-21903soft"
6793,"-6hard/-21900soft"
6884,"-6hard/-21883soft"
7059,"-6hard/-21863soft"
7237,"-6hard/-21856soft"
7599,"-6hard/-21845soft"
7697,"-6hard/-21823soft"
7788,"-6hard/-21817soft"
7878,"-6hard/-21797soft"
7966,"-6hard/-21772soft"
8051,"-5hard/-21975soft"
8144,"-4hard/-21967soft"
8242,"-4hard/-21959soft"
8335,"-4hard/-21917soft"
8431,"-4hard/-21892soft"
8515,"-4hard/-21779soft"
8613,"-4hard/-21705soft"
8812,"-4hard/-21695soft"
8894,"-4hard/-21689soft"
8988,"-4hard/-21630soft"
9080,"-4hard/-21597soft"
9174,"-4hard/-21582soft"
9280,"-4hard/-21573soft"
9385,"-4hard/-21514soft"
9471,"-4hard/-21492soft"
9655,"-4hard/-21485soft"
9751,"-4hard/-21484soft"
9856,"-2hard/-21476soft"
10000,"-2hard/-21473soft"
