"timeMillisSpent","score"
64,"-55hard/-8226soft"
66,"-53hard/-8301soft"
68,"-51hard/-8578soft"
80,"-50hard/-9569soft"
80,"-50hard/-9507soft"
81,"-50hard/-9429soft"
81,"-49hard/-9398soft"
86,"-46hard/-13635soft"
86,"-46hard/-13507soft"
99,"-44hard/-13502soft"
100,"-44hard/-13450soft"
115,"-44hard/-13379soft"
115,"-43hard/-13470soft"
138,"-39hard/-12934soft"
138,"-38hard/-12879soft"
313,"-37hard/-13140soft"
313,"-36hard/-13071soft"
356,"-35hard/-13090soft"
356,"-34hard/-13072soft"
426,"-34hard/-13001soft"
493,"-33hard/-12730soft"
494,"-31hard/-12624soft"
494,"-31hard/-12606soft"
724,"-31hard/-12335soft"
725,"-30hard/-12321soft"
757,"-28hard/-13008soft"
830,"-28hard/-12685soft"
962,"-28hard/-12609soft"
970,"-27hard/-12376soft"
970,"-26hard/-12402soft"
1011,"-26hard/-12385soft"
1027,"-25hard/-12817soft"
1220,"-25hard/-12579soft"
1221,"-24hard/-12555soft"
1221,"-22hard/-12535soft"
1221,"-22hard/-12465soft"
1365,"-20hard/-13428soft"
1725,"-20hard/-12985soft"
1866,"-20hard/-12750soft"
2017,"-19hard/-12565soft"
2152,"-18hard/-12190soft"
2176,"-18hard/-11820soft"
2176,"-18hard/-11818soft"
2308,"-15hard/-12371soft"
2836,"-15hard/-12216soft"
3040,"-15hard/-12171soft"
3085,"-15hard/-12126soft"
3204,"-14hard/-11856soft"
3361,"-13hard/-12352soft"
3578,"-13hard/-11946soft"
3774,"-13hard/-11813soft"
3775,"-13hard/-11806soft"
3776,"-13hard/-11803soft"
3776,"-13hard/-11783soft"
3852,"-13hard/-11588soft"
4190,"-13hard/-11516soft"
4495,"-12hard/-12334soft"
4496,"-11hard/-12223soft"
4497,"-11hard/-12192soft"
4533,"-11hard/-12012soft"
5024,"-11hard/-11566soft"
5137,"-10hard/-11688soft"
5550,"-10hard/-11670soft"
5551,"-10hard/-11667soft"
5553,"-10hard/-11655soft"
5836,"-9hard/-12030soft"
6011,"-9hard/-11665soft"
6306,"-9hard/-11267soft"
6975,"-8hard/-11592soft"
7322,"-7hard/-11743soft"
8050,"-7hard/-11675soft"
8150,"-7hard/-11538soft"
8500,"-6hard/-11816soft"
8895,"-6hard/-11781soft"
8977,"-6hard/-11395soft"
9309,"-5hard/-11704soft"
9309,"-5hard/-11662soft"
