"timeMillisSpent","score"
7,"-4hard/-7342soft"
8,"-4hard/-7153soft"
10,"-2hard/-7314soft"
141,"-2hard/-7298soft"
207,"-2hard/-7288soft"
208,"-2hard/-7284soft"
225,"-2hard/-7271soft"
226,"-2hard/-7248soft"
226,"-2hard/-7241soft"
226,"-2hard/-7238soft"
230,"-2hard/-7208soft"
230,"-2hard/-7200soft"
300,"-2hard/-7195soft"
340,"-2hard/-7190soft"
348,"-2hard/-7163soft"
365,"-2hard/-7158soft"
388,"-2hard/-7153soft"
420,"-2hard/-7140soft"
478,"-2hard/-7102soft"
478,"-2hard/-7087soft"
712,"-2hard/-7055soft"
1006,"-2hard/-7037soft"
1329,"-2hard/-7028soft"
1421,"-2hard/-7026soft"
1421,"-2hard/-7023soft"
1427,"-2hard/-7016soft"
1438,"-2hard/-7011soft"
1443,"-2hard/-6998soft"
2132,"-2hard/-6990soft"
2133,"-2hard/-6981soft"
2349,"-2hard/-6978soft"
2942,"-2hard/-6977soft"
3027,"-2hard/-6976soft"
4187,"-2hard/-6973soft"
4609,"-2hard/-6972soft"
4652,"-2hard/-6971soft"
4860,"-2hard/-6969soft"
4896,"-2hard/-6965soft"
