"timeMillisSpent","score"
76,"-47hard/-7946soft"
77,"-45hard/-8038soft"
79,"-44hard/-8655soft"
79,"-41hard/-8613soft"
168,"-40hard/-13781soft"
168,"-40hard/-13770soft"
182,"-40hard/-12165soft"
187,"-39hard/-12681soft"
223,"-38hard/-12620soft"
246,"-38hard/-12374soft"
250,"-37hard/-12345soft"
255,"-36hard/-13359soft"
256,"-36hard/-13329soft"
256,"-36hard/-13323soft"
258,"-36hard/-13139soft"
361,"-33hard/-12686soft"
364,"-31hard/-12732soft"
364,"-30hard/-12690soft"
364,"-30hard/-12674soft"
365,"-30hard/-12613soft"
755,"-28hard/-12547soft"
990,"-28hard/-12346soft"
1000,"-26hard/-12656soft"
1001,"-25hard/-12713soft"
1209,"-25hard/-12254soft"
1269,"-25hard/-12232soft"
1269,"-24hard/-12228soft"
1456,"-24hard/-11654soft"
1759,"-23hard/-12522soft"
1760,"-23hard/-12492soft"
1777,"-23hard/-12185soft"
1853,"-22hard/-12405soft"
2111,"-22hard/-11968soft"
2112,"-22hard/-11959soft"
2180,"-21hard/-12239soft"
2227,"-21hard/-12227soft"
2228,"-19hard/-12212soft"
2228,"-19hard/-12191soft"
2601,"-18hard/-12028soft"
2604,"-18hard/-12001soft"
2645,"-18hard/-11913soft"
2846,"-15hard/-12183soft"
3269,"-15hard/-12093soft"
3823,"-15hard/-11754soft"
4265,"-14hard/-11806soft"
4539,"-14hard/-11581soft"
4646,"-13hard/-12136soft"
4864,"-13hard/-11970soft"
4864,"-13hard/-11953soft"
5148,"-12hard/-11109soft"
5764,"-11hard/-11647soft"
5974,"-10hard/-11873soft"
6273,"-9hard/-11873soft"
6627,"-9hard/-11751soft"
6896,"-9hard/-11733soft"
6979,"-7hard/-11898soft"
8661,"-7hard/-11607soft"
8661,"-7hard/-11570soft"
8917,"-7hard/-11527soft"
9296,"-7hard/-11185soft"
9659,"-6hard/-11328soft"
