"timeMillisSpent","score"
9,"-2hard/-7224soft"
12,"-2hard/-7220soft"
15,"-2hard/-7151soft"
22,"0hard/-7347soft"
25,"0hard/-7321soft"
26,"0hard/-7167soft"
119,"0hard/-7076soft"
323,"0hard/-7055soft"
325,"0hard/-7048soft"
525,"0hard/-7027soft"
564,"0hard/-7018soft"
620,"0hard/-7014soft"
669,"0hard/-6999soft"
670,"0hard/-6972soft"
680,"0hard/-6968soft"
1553,"0hard/-6967soft"
1577,"0hard/-6966soft"
1692,"0hard/-6953soft"
1712,"0hard/-6952soft"
1756,"0hard/-6934soft"
1910,"0hard/-6917soft"
2431,"0hard/-6916soft"
2436,"0hard/-6904soft"
2529,"0hard/-6892soft"
2542,"0hard/-6872soft"
2915,"0hard/-6870soft"
3849,"0hard/-6860soft"
4140,"0hard/-6850soft"
4183,"0hard/-6847soft"
4698,"0hard/-6845soft"
4703,"0hard/-6836soft"
5231,"0hard/-6833soft"
5730,"0hard/-6832soft"
5869,"0hard/-6826soft"
5871,"0hard/-6821soft"
6286,"0hard/-6817soft"
6304,"0hard/-6805soft"
