"timeMillisSpent","score"
3354,"-212hard/-95572soft"
3488,"-199hard/-95720soft"
3622,"-198hard/-95696soft"
3768,"-197hard/-95754soft"
3890,"-193hard/-95804soft"
4008,"-192hard/-95829soft"
4132,"-191hard/-95845soft"
4256,"-188hard/-99820soft"
4378,"-186hard/-99857soft"
4507,"-183hard/-99849soft"
4624,"-181hard/-99831soft"
4736,"-177hard/-99805soft"
4854,"-176hard/-99889soft"
5083,"-174hard/-99866soft"
5330,"-173hard/-100010soft"
5582,"-173hard/-99829soft"
5705,"-172hard/-99826soft"
5822,"-172hard/-99779soft"
5938,"-172hard/-99713soft"
6051,"-171hard/-99711soft"
6399,"-169hard/-99718soft"
6516,"-169hard/-99708soft"
6860,"-168hard/-99718soft"
6976,"-166hard/-99613soft"
7102,"-166hard/-99568soft"
7226,"-166hard/-99562soft"
7476,"-166hard/-99543soft"
7597,"-163hard/-99704soft"
7714,"-162hard/-99688soft"
7835,"-162hard/-99684soft"
7957,"-161hard/-99706soft"
8078,"-160hard/-99696soft"
8196,"-160hard/-99648soft"
8314,"-159hard/-99626soft"
8430,"-159hard/-99592soft"
8794,"-159hard/-99513soft"
9408,"-158hard/-99502soft"
9538,"-157hard/-99498soft"
9661,"-156hard/-99478soft"
9786,"-154hard/-99581soft"
9900,"-154hard/-99576soft"
10000,"-154hard/-99574soft"
