"timeMillisSpent","score"
154,"-39hard/-22954soft"
262,"-30hard/-22926soft"
377,"-26hard/-22971soft"
499,"-23hard/-22956soft"
604,"-23hard/-22928soft"
700,"-22hard/-22658soft"
895,"-21hard/-22637soft"
999,"-20hard/-22633soft"
1102,"-19hard/-22551soft"
1197,"-19hard/-22456soft"
1389,"-19hard/-22429soft"
1485,"-18hard/-22334soft"
1579,"-16hard/-22336soft"
1673,"-15hard/-22315soft"
1769,"-14hard/-22326soft"
1864,"-14hard/-22315soft"
1954,"-12hard/-22307soft"
2049,"-12hard/-22279soft"
2146,"-11hard/-22266soft"
2539,"-11hard/-22188soft"
2634,"-11hard/-22172soft"
2723,"-11hard/-22158soft"
2914,"-11hard/-22152soft"
3006,"-11hard/-22144soft"
3108,"-11hard/-22123soft"
3224,"-11hard/-22117soft"
3321,"-10hard/-22150soft"
3423,"-9hard/-22160soft"
3520,"-9hard/-22109soft"
3741,"-9hard/-22104soft"
3933,"-9hard/-22100soft"
4032,"-9hard/-22088soft"
4130,"-8hard/-22103soft"
4342,"-8hard/-22102soft"
4560,"-8hard/-22073soft"
4664,"-6hard/-22026soft"
4860,"-6hard/-21956soft"
4955,"-6hard/-21953soft"
5053,"-6hard/-21937soft"
5150,"-4hard/-21914soft"
5252,"-4hard/-21912soft"
5347,"-4hard/-21900soft"
5442,"-4hard/-21897soft"
5645,"-4hard/-21879soft"
5745,"-4hard/-21874soft"
5843,"-3hard/-21888soft"
6030,"-3hard/-21887soft"
6129,"-3hard/-21862soft"
6228,"-3hard/-21861soft"
6327,"-3hard/-21858soft"
6434,"-3hard/-21845soft"
6544,"-3hard/-21843soft"
6749,"-2hard/-21853soft"
8046,"-2hard/-21852soft"
8143,"-2hard/-21819soft"
8244,"0hard/-21846soft"
8351,"0hard/-21845soft"
8455,"0hard/-21844soft"
8561,"0hard/-21843soft"
9278,"0hard/-21824soft"
9374,"0hard/-21821soft"
9566,"0hard/-21808soft"
9664,"0hard/-21795soft"
9769,"0hard/-21782soft"
9872,"0hard/-21740soft"
9971,"0hard/-21735soft"
