"timeMillisSpent","score"
42,"-33hard/-12215soft"
133,"-22hard/-12147soft"
234,"-18hard/-12116soft"
374,"-15hard/-12029soft"
485,"-14hard/-11853soft"
578,"-13hard/-11839soft"
663,"-12hard/-11833soft"
747,"-12hard/-11822soft"
842,"-11hard/-11819soft"
922,"-9hard/-11768soft"
1039,"-8hard/-11736soft"
1158,"-7hard/-11687soft"
1260,"-7hard/-11649soft"
1348,"-6hard/-11636soft"
1443,"-6hard/-11269soft"
1537,"-5hard/-11274soft"
1640,"-5hard/-11236soft"
1730,"-5hard/-11213soft"
1825,"-4hard/-11220soft"
1924,"-4hard/-11201soft"
2096,"-4hard/-11190soft"
2201,"-4hard/-11155soft"
2288,"-4hard/-11140soft"
2371,"-4hard/-11136soft"
2455,"-3hard/-11124soft"
2576,"-2hard/-11124soft"
2658,"-2hard/-11101soft"
2749,"-2hard/-11096soft"
2855,"-2hard/-11087soft"
2937,"-2hard/-11074soft"
3017,"-2hard/-11040soft"
3108,"-2hard/-10931soft"
3192,"0hard/-10940soft"
3282,"0hard/-10927soft"
3388,"0hard/-10924soft"
3492,"0hard/-10920soft"
3620,"0hard/-10910soft"
3750,"0hard/-10906soft"
3838,"0hard/-10904soft"
3941,"0hard/-10881soft"
4063,"0hard/-10879soft"
4246,"0hard/-10874soft"
4340,"0hard/-10870soft"
4430,"0hard/-10866soft"
4516,"0hard/-10861soft"
4600,"0hard/-10860soft"
4777,"0hard/-10858soft"
4872,"0hard/-10851soft"
4980,"0hard/-10838soft"
5079,"0hard/-10834soft"
5257,"0hard/-10824soft"
5342,"0hard/-10821soft"
5670,"0hard/-10801soft"
5759,"0hard/-10800soft"
5854,"0hard/-10798soft"
5941,"0hard/-10794soft"
6159,"0hard/-10756soft"
6353,"0hard/-10731soft"
6453,"0hard/-10727soft"
6540,"0hard/-10725soft"
7129,"0hard/-10721soft"
7227,"0hard/-10718soft"
7332,"0hard/-10717soft"
7692,"0hard/-10716soft"
7782,"0hard/-10715soft"
7880,"0hard/-10701soft"
7986,"0hard/-10507soft"
8216,"0hard/-10506soft"
8398,"0hard/-10505soft"
8497,"0hard/-10502soft"
9336,"0hard/-10500soft"
9994,"0hard/-10499soft"
