"timeMillisSpent","score"
31,"-19hard/-11491soft"
33,"-18hard/-11581soft"
33,"-17hard/-11578soft"
35,"-17hard/-11561soft"
45,"-17hard/-11398soft"
46,"-17hard/-11353soft"
68,"-17hard/-11333soft"
68,"-17hard/-11315soft"
69,"-17hard/-11295soft"
69,"-16hard/-11282soft"
386,"-15hard/-12205soft"
435,"-14hard/-11872soft"
735,"-14hard/-11831soft"
744,"-14hard/-11813soft"
940,"-14hard/-11706soft"
1378,"-13hard/-11927soft"
1536,"-13hard/-11448soft"
1585,"-12hard/-11780soft"
1843,"-12hard/-11521soft"
1879,"-12hard/-11379soft"
2239,"-12hard/-11108soft"
3498,"-11hard/-11321soft"
3652,"-11hard/-11301soft"
3771,"-10hard/-12208soft"
3784,"-9hard/-11949soft"
4474,"-9hard/-11626soft"
4474,"-9hard/-11613soft"
5006,"-9hard/-11277soft"
5019,"-9hard/-11113soft"
5226,"-9hard/-11034soft"
5338,"-8hard/-11030soft"
6708,"-8hard/-10974soft"
6916,"-8hard/-10970soft"
7054,"-7hard/-11285soft"
7061,"-7hard/-11266soft"
7984,"-7hard/-11178soft"
8014,"-7hard/-11028soft"
8018,"-6hard/-11014soft"
