"timeMillisSpent","score"
519,"-78hard/-41864soft"
522,"-74hard/-41890soft"
1063,"-72hard/-43079soft"
1064,"-72hard/-43046soft"
2525,"-71hard/-44445soft"
2526,"-71hard/-44437soft"
2572,"-70hard/-44329soft"
2753,"-70hard/-44172soft"
3102,"-70hard/-43772soft"
3308,"-70hard/-43403soft"
3648,"-70hard/-42941soft"
3871,"-70hard/-42785soft"
3984,"-69hard/-42795soft"
4068,"-65hard/-43817soft"
7696,"-65hard/-43641soft"
8259,"-65hard/-43545soft"
8320,"-64hard/-43624soft"
8937,"-64hard/-43380soft"
9065,"-64hard/-43363soft"
9471,"-63hard/-44081soft"
9477,"-62hard/-44087soft"
9569,"-62hard/-43884soft"
