"timeMillisSpent","score"
1553,"-248hard/-18289soft"
1556,"-247hard/-18496soft"
1557,"-245hard/-18587soft"
1557,"-244hard/-18677soft"
1583,"-237hard/-24452soft"
1646,"-236hard/-41977soft"
1825,"-235hard/-44181soft"
1826,"-235hard/-44145soft"
1826,"-235hard/-44135soft"
1878,"-234hard/-45872soft"
1878,"-234hard/-45865soft"
1878,"-234hard/-45858soft"
1915,"-233hard/-46117soft"
1915,"-232hard/-46054soft"
1925,"-231hard/-46928soft"
1983,"-229hard/-49080soft"
1984,"-229hard/-49072soft"
1984,"-227hard/-49098soft"
1985,"-226hard/-49097soft"
1985,"-223hard/-49067soft"
2014,"-221hard/-49344soft"
2015,"-220hard/-49301soft"
2015,"-220hard/-49228soft"
2016,"-220hard/-49196soft"
2070,"-219hard/-50671soft"
2194,"-217hard/-49648soft"
2195,"-216hard/-49783soft"
2244,"-216hard/-48373soft"
2245,"-216hard/-48328soft"
2249,"-214hard/-48369soft"
2249,"-214hard/-48323soft"
2343,"-210hard/-47893soft"
2526,"-209hard/-49812soft"
2557,"-208hard/-47832soft"
2651,"-206hard/-48423soft"
2734,"-203hard/-48599soft"
2774,"-203hard/-48113soft"
2814,"-199hard/-48041soft"
2876,"-195hard/-48375soft"
3074,"-195hard/-48197soft"
3075,"-195hard/-48097soft"
3075,"-192hard/-48082soft"
3075,"-188hard/-48756soft"
3415,"-188hard/-48322soft"
3446,"-187hard/-49279soft"
3446,"-187hard/-49226soft"
3447,"-187hard/-49158soft"
3447,"-186hard/-49215soft"
3447,"-184hard/-49161soft"
3505,"-184hard/-48284soft"
3511,"-184hard/-48115soft"
3511,"-184hard/-48048soft"
3777,"-183hard/-47623soft"
3778,"-183hard/-47620soft"
3877,"-183hard/-47007soft"
3881,"-182hard/-47144soft"
3931,"-180hard/-47674soft"
4015,"-179hard/-47769soft"
4015,"-179hard/-47709soft"
4034,"-178hard/-48113soft"
4035,"-178hard/-48105soft"
4035,"-178hard/-48095soft"
4036,"-177hard/-48164soft"
4127,"-176hard/-49992soft"
4128,"-175hard/-50286soft"
4185,"-175hard/-49477soft"
4185,"-175hard/-49437soft"
4186,"-175hard/-49393soft"
4186,"-174hard/-49456soft"
4269,"-174hard/-48810soft"
4270,"-171hard/-48760soft"
4516,"-169hard/-47617soft"
4516,"-169hard/-47571soft"
4516,"-169hard/-47469soft"
4517,"-169hard/-47466soft"
4517,"-169hard/-47457soft"
4685,"-167hard/-49652soft"
4686,"-167hard/-49556soft"
4686,"-165hard/-49270soft"
4803,"-165hard/-48567soft"
4940,"-164hard/-49051soft"
4940,"-162hard/-49013soft"
5070,"-162hard/-48458soft"
5070,"-160hard/-48443soft"
5213,"-159hard/-49454soft"
5286,"-159hard/-48906soft"
5416,"-159hard/-48686soft"
5416,"-157hard/-48637soft"
5417,"-156hard/-48586soft"
5417,"-156hard/-48553soft"
5538,"-156hard/-47827soft"
5539,"-155hard/-47807soft"
5650,"-153hard/-48099soft"
5653,"-152hard/-48057soft"
5771,"-151hard/-47757soft"
6129,"-149hard/-48213soft"
6176,"-149hard/-47737soft"
6262,"-149hard/-47557soft"
6301,"-148hard/-47882soft"
6313,"-147hard/-48797soft"
6656,"-147hard/-48359soft"
6656,"-146hard/-48372soft"
6657,"-146hard/-48314soft"
6743,"-145hard/-49036soft"
6744,"-142hard/-48946soft"
7097,"-139hard/-48285soft"
7097,"-139hard/-48280soft"
7178,"-138hard/-48407soft"
7374,"-137hard/-47868soft"
7526,"-137hard/-47695soft"
7526,"-137hard/-47685soft"
7533,"-136hard/-47972soft"
7537,"-136hard/-47761soft"
7655,"-136hard/-46531soft"
7698,"-135hard/-46764soft"
7802,"-134hard/-47448soft"
7921,"-134hard/-47057soft"
7945,"-134hard/-46086soft"
7946,"-133hard/-46071soft"
7948,"-131hard/-46450soft"
8035,"-130hard/-47946soft"
8051,"-130hard/-47936soft"
8344,"-130hard/-47432soft"
8346,"-130hard/-47243soft"
8410,"-129hard/-47749soft"
8501,"-128hard/-46612soft"
8576,"-128hard/-46366soft"
8576,"-128hard/-46354soft"
8656,"-127hard/-47508soft"
8658,"-124hard/-47384soft"
8869,"-121hard/-46945soft"
9467,"-120hard/-47266soft"
9645,"-119hard/-46846soft"
9734,"-118hard/-46992soft"
9981,"-117hard/-46659soft"
