"timeMillisSpent","score"
46,"-29hard/-11169soft"
131,"-20hard/-11146soft"
236,"-15hard/-11176soft"
386,"-12hard/-11174soft"
478,"-11hard/-11180soft"
560,"-11hard/-11096soft"
652,"-9hard/-11064soft"
808,"-8hard/-11052soft"
897,"-8hard/-10945soft"
981,"-7hard/-11321soft"
1056,"-7hard/-11291soft"
1128,"-6hard/-11260soft"
1206,"-6hard/-11238soft"
1292,"-6hard/-11225soft"
1380,"-6hard/-11195soft"
1472,"-6hard/-11177soft"
1572,"-5hard/-11186soft"
2458,"-5hard/-11158soft"
2552,"-4hard/-11176soft"
2818,"-4hard/-11173soft"
2919,"-4hard/-11147soft"
3112,"-4hard/-11142soft"
3210,"-4hard/-11106soft"
3301,"-4hard/-11087soft"
3376,"-3hard/-11079soft"
3467,"-3hard/-11018soft"
3557,"-2hard/-11032soft"
3630,"-2hard/-11030soft"
3802,"-2hard/-11019soft"
3888,"-2hard/-11016soft"
3971,"-2hard/-10981soft"
4070,"-2hard/-10980soft"
4176,"-2hard/-10977soft"
4347,"-2hard/-10969soft"
4427,"-2hard/-10967soft"
4527,"-2hard/-10890soft"
4618,"-2hard/-10872soft"
4786,"-2hard/-10862soft"
4961,"-2hard/-10857soft"
5053,"-2hard/-10855soft"
5137,"-2hard/-10853soft"
5222,"-2hard/-10851soft"
5584,"-2hard/-10842soft"
5668,"-2hard/-10827soft"
5749,"-2hard/-10826soft"
5838,"-2hard/-10786soft"
5920,"-2hard/-10785soft"
6008,"-2hard/-10773soft"
6094,"-2hard/-10762soft"
6182,"-2hard/-10747soft"
6272,"-2hard/-10746soft"
6439,"-2hard/-10745soft"
6529,"-2hard/-10720soft"
6622,"-2hard/-10707soft"
7684,"-2hard/-10646soft"
8141,"-2hard/-10642soft"
8326,"-2hard/-10627soft"
8693,"-2hard/-10621soft"
9941,"0hard/-10864soft"
10000,"0hard/-10703soft"
