"timeMillisSpent","score"
112,"-39hard/-23042soft"
115,"-38hard/-23051soft"
122,"-37hard/-22636soft"
132,"-36hard/-23264soft"
197,"-36hard/-23107soft"
198,"-36hard/-23080soft"
376,"-35hard/-23949soft"
429,"-34hard/-23615soft"
430,"-34hard/-23584soft"
527,"-34hard/-23556soft"
527,"-33hard/-23498soft"
709,"-33hard/-22922soft"
709,"-33hard/-22914soft"
835,"-31hard/-22545soft"
1902,"-29hard/-24261soft"
2696,"-29hard/-22920soft"
2696,"-28hard/-22917soft"
4892,"-27hard/-23110soft"
5529,"-26hard/-23111soft"
6137,"-25hard/-23741soft"
6403,"-24hard/-24176soft"
7536,"-24hard/-22907soft"
7537,"-24hard/-22862soft"
8426,"-23hard/-23001soft"
8902,"-22hard/-23334soft"
9205,"-22hard/-22954soft"
9598,"-22hard/-22647soft"
9716,"-22hard/-22582soft"
9789,"-21hard/-23255soft"
