"timeMillisSpent","score"
468,"-69hard/-41826soft"
568,"-67hard/-41847soft"
663,"-65hard/-41821soft"
861,"-64hard/-41824soft"
961,"-62hard/-41825soft"
1061,"-61hard/-41831soft"
1155,"-60hard/-41833soft"
1250,"-59hard/-41802soft"
1353,"-58hard/-41792soft"
1456,"-56hard/-41727soft"
1554,"-55hard/-41673soft"
1653,"-53hard/-41585soft"
1759,"-51hard/-41548soft"
1863,"-50hard/-41579soft"
1965,"-49hard/-42006soft"
2161,"-48hard/-41992soft"
2259,"-48hard/-41973soft"
2450,"-47hard/-41981soft"
2643,"-47hard/-41956soft"
2737,"-47hard/-41927soft"
2930,"-45hard/-41872soft"
3019,"-45hard/-41656soft"
3111,"-45hard/-41629soft"
3206,"-45hard/-41624soft"
3303,"-45hard/-41620soft"
3403,"-44hard/-41643soft"
3500,"-44hard/-41632soft"
3694,"-43hard/-41635soft"
3894,"-43hard/-41622soft"
3999,"-42hard/-41603soft"
4100,"-41hard/-41605soft"
4200,"-41hard/-41599soft"
4505,"-40hard/-41572soft"
5034,"-40hard/-41569soft"
5131,"-40hard/-41558soft"
5223,"-39hard/-41553soft"
5319,"-38hard/-41900soft"
5421,"-38hard/-41896soft"
5528,"-38hard/-41894soft"
5640,"-38hard/-41890soft"
5745,"-37hard/-41890soft"
6948,"-37hard/-41857soft"
8971,"-36hard/-41574soft"
9273,"-35hard/-41587soft"
9377,"-35hard/-41573soft"
