"timeMillisSpent","score"
113,"-1061hard/-11450soft"
250,"-1037hard/-11377soft"
520,"-1019hard/-11447soft"
784,"-1011hard/-11841soft"
918,"-1009hard/-11570soft"
1016,"-1008hard/-11561soft"
1113,"-1008hard/-11437soft"
1238,"-1008hard/-11423soft"
1334,"-1008hard/-11330soft"
1446,"-1008hard/-11321soft"
1549,"-1008hard/-11281soft"
1639,"-1008hard/-11279soft"
1738,"-1008hard/-11277soft"
1848,"-1008hard/-11253soft"
1962,"-1008hard/-11250soft"
2089,"-1007hard/-11250soft"
2194,"-1007hard/-11247soft"
2408,"-1007hard/-11236soft"
2612,"-1006hard/-11212soft"
2716,"-1006hard/-11201soft"
2824,"-1006hard/-11191soft"
2956,"-1006hard/-11186soft"
3092,"-1006hard/-10994soft"
3201,"-1006hard/-10990soft"
3309,"-1006hard/-10985soft"
3522,"-1006hard/-10971soft"
3642,"-1006hard/-10963soft"
3834,"-1006hard/-10799soft"
4023,"-1006hard/-10794soft"
4117,"-1006hard/-10793soft"
4205,"-1006hard/-10790soft"
4308,"-1006hard/-10752soft"
4527,"-1006hard/-10751soft"
4615,"-1006hard/-10748soft"
4725,"-1006hard/-10745soft"
5076,"-1006hard/-10744soft"
5638,"-1006hard/-10738soft"
5862,"-1006hard/-10736soft"
5978,"-1005hard/-10973soft"
6555,"-1005hard/-10966soft"
6946,"-1005hard/-10962soft"
7063,"-1005hard/-10956soft"
7170,"-1005hard/-10874soft"
7260,"-1005hard/-10866soft"
7367,"-1005hard/-10858soft"
7604,"-1005hard/-10847soft"
7736,"-1005hard/-10846soft"
7849,"-1005hard/-10845soft"
8279,"-1005hard/-10840soft"
8799,"-1005hard/-10833soft"
8935,"-1005hard/-10826soft"
9976,"-1005hard/-10755soft"
